Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-06-07,SD,13.0,29.0,1.0,5258.0
2020-06-07,TN,49.0,137.0,7.0,24622.0
2020-06-07,TX,482.0,332.0,82.0,81234.0
2020-06-07,UT,16.0,26.0,3.0,4976.0
2020-06-07,VA,306.0,171.0,65.0,24425.0
2020-06-07,VT,0.0,20.0,1.0,2196.0
2020-06-07,WA,37.0,70.0,4.0,13481.0
2020-06-07,WI,81.0,188.0,19.0,19807.0
2020-06-07,WV,5.0,47.0,0.0,8485.0
2020-06-07,WY,2.0,8.0,0.0,2164.0
2020-06-14,AK,0.0,4.0,2.0,655.0
2020-06-14,AL,191.0,117.0,27.0,20476.0
2020-06-14,AR,75.0,77.0,12.0,16188.0
2020-06-14,AZ,119.0,80.0,20.0,10522.0
2020-06-14,CA,967.0,596.0,213.0,88679.0
2020-06-14,CO,57.0,105.0,33.0,14567.0
2020-06-14,CT,114.0,130.0,46.0,17713.0
2020-06-14,DC,28.0,14.0,2.0,1513.0
2020-06-14,DE,16.0,26.0,12.0,3310.0
2020-06-14,FL,203.0,403.0,100.0,64969.0
2020-06-14,GA,291.0,246.0,84.0,29427.0
2020-06-14,GU,0.0,0.0,0.0,10.0
2020-06-14,HI,0.0,12.0,0.0,3473.0
2020-06-14,IA,37.0,132.0,25.0,21251.0
2020-06-14,ID,0.0,18.0,1.0,3834.0
2020-06-14,IL,451.0,439.0,190.0,57804.0
2020-06-14,IN,238.0,244.0,68.0,34605.0
2020-06-14,KS,29.0,84.0,5.0,15961.0
2020-06-14,KY,75.0,114.0,13.0,20840.0
2020-06-14,LA,228.0,178.0,88.0,22950.0
2020-06-14,MA,268.0,263.0,111.0,29544.0
2020-06-14,MD,256.0,209.0,87.0,19662.0
2020-06-14,ME,2.0,32.0,1.0,5429.0
2020-06-14,MI,67.0,590.0,38.0,31843.0
2020-06-14,MN,69.0,187.0,38.0,20965.0
2020-06-14,MO,153.0,169.0,35.0,35361.0
2020-06-14,MS,183.0,96.0,40.0,14185.0
2020-06-14,MT,0.0,13.0,0.0,3695.0
2020-06-14,NC,208.0,232.0,59.0,33128.0
2020-06-14,ND,4.0,30.0,1.0,4895.0
2020-06-14,NE,5.0,65.0,10.0,10157.0
2020-06-14,NH,82.0,66.0,27.0,5678.0
2020-06-14,NJ,311.0,533.0,124.0,33369.0
2020-06-14,NM,10.0,44.0,9.0,4765.0
2020-06-14,NV,10.0,22.0,5.0,4886.0
2020-06-14,NY,811.0,564.0,184.0,86304.0
2020-06-14,OH,316.0,454.0,72.0,64595.0
